timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601712088058,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712089058,60818,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712089058,12568,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712089058,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712090058,60812,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712090058,13548,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712090058,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712091059,60808,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712091059,15608,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712091059,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712092059,60802,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712092059,14385,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712092060,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712093060,60793,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712093061,11347,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712093061,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712094061,60790,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712094062,11301,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712094062,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712095063,60791,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712095063,11725,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712095063,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712096063,60785,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712096063,13997,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712096063,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712097064,60782,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712097064,12081,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712097064,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712098064,60774,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712098064,15288,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712098064,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712099065,60785,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712099065,12075,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712099065,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712100066,60773,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712100066,10886,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712100066,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712101067,60776,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712101067,10550,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712101067,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712102068,60771,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712102068,10927,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712102068,5000,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712103069,60756,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712103069,12121,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712103069,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712104070,60747,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712104070,13638,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712104070,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712105071,60742,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712105071,13653,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712105071,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712106071,60739,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712106071,11350,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712106071,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712107072,60929,localhost Memory,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
1601712107072,32775,localhost CPU,,,,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,DESKTOP-JHIFNH0,0,0
